"id","uuid","date","province","patrol_crime","patrol_case","patrol_exhibit","patrol_enforcement","patrol_amount","patrol_remarkcrime","patrol_othercrime","patrol_otherenforce"
444941394,NA,"2023-04-20",2,4,16,7670,"[""2""]",16,NA,NA,NA
444941394,NA,"2023-04-20",2,13,1,600,"[""2""]",1,NA,NA,NA
444941394,NA,"2023-04-20",2,3,2,650,"[""2""]",2,NA,NA,NA
444941394,NA,"2023-04-20",2,2,1,1,"[""1""]",1,NA,NA,NA
444959380,NA,"2023-05-19",2,4,21,15350,"[""2""]",21,NA,NA,NA
444959380,NA,"2023-05-19",2,3,3,20000,"[""6""]",3,NA,NA,NA
444959380,NA,"2023-05-19",2,13,1,120,"[""2""]",1,NA,NA,NA
444974148,NA,"2023-06-16",2,4,10,3900,"[""2""]",10,NA,NA,NA
444974148,NA,"2023-06-16",2,2,3,3,"[""1"", ""3""]",3,NA,NA,NA
444974148,NA,"2023-06-16",2,3,1,400,"[""2""]",1,NA,NA,NA
444974148,NA,"2023-06-16",2,10,1,10,"[""88""]",1,NA,NA,NA
445286228,NA,"2023-01-06",13,2,3,17,"[""2""]",3,NA,NA,NA
445314412,NA,"2023-02-14",13,2,3,17,"[""2""]",3,NA,NA,NA
445319445,NA,"2023-03-10",13,2,1,3,"[""2""]",1,NA,NA,NA
445322289,NA,"2023-04-14",13,2,3,7,"[""2""]",3,NA,NA,NA
445324743,NA,"2023-01-12",13,2,3,7,"[""2""]",3,NA,NA,NA
445327028,NA,"2023-05-12",13,2,0,0,"[""88""]",0,NA,NA,NA
445330817,NA,"2023-06-09",13,2,2,8,"[""2""]",2,NA,NA,NA
445333090,NA,"2023-06-16",13,2,2,8,"[""2""]",2,NA,NA,NA
445335142,NA,"2023-06-05",13,2,2,8,"[""2""]",2,NA,NA,NA
445336482,NA,"2023-06-23",13,2,2,8,"[""2""]",2,NA,NA,NA
445744580,NA,"2023-06-15",16,13,1,2,"[""1""]",0,NA,NA,NA
445744580,NA,"2023-06-15",16,3,1,2,"[""1""]",0,NA,NA,NA
445744959,NA,"2023-01-31",18,88,1,1,"[""88""]",1,NA,NA,NA
445749903,NA,"2023-01-31",4,3,3,1200,"[""2""]",3,NA,NA,NA
445754784,NA,"2023-02-28",4,3,6,1550,"[""2""]",6,NA,NA,NA
445754784,NA,"2023-02-28",4,4,2,800,"[""2""]",2,NA,NA,NA
445754784,NA,"2023-02-28",4,88,1,100,"[""2""]",1,NA,NA,NA
445754784,NA,"2023-02-28",4,88,6,4100,"[""2""]",6,NA,NA,NA
445754784,NA,"2023-02-28",4,2,1,1,"[""3""]",1,NA,NA,NA
445804344,NA,"2023-02-28",18,9,1,1,"[""88""]",0,NA,NA,NA
445804344,NA,"2023-02-28",18,10,1,1,"[""88""]",0,NA,NA,NA
445817775,NA,"2023-04-14",17,88,29,29,"[""88""]",0,NA,NA,NA
445821840,NA,"2023-03-31",4,3,7,1800,"[""2""]",7,NA,NA,NA
445821840,NA,"2023-03-31",4,4,2,2150,"[""2""]",2,NA,NA,NA
445821840,NA,"2023-03-31",4,88,6,4220,"[""2""]",6,NA,NA,NA
445822359,NA,"2023-03-31",18,88,1,13,"[""88""]",0,NA,NA,NA
445830869,NA,"2023-05-15",17,88,13,13,"[""4""]",1,NA,NA,NA
445835757,NA,"2023-06-15",17,88,8,8,"[""88""]",0,NA,NA,NA
445846339,NA,"2023-04-30",4,3,2,650,"[""2""]",2,NA,NA,NA
445846339,NA,"2023-04-30",4,4,2,850,"[""2""]",2,NA,NA,NA
445846339,NA,"2023-04-30",4,88,7,3200,"[""2""]",7,NA,NA,NA
445846339,NA,"2023-04-30",4,10,2,0,"[""6""]",2,NA,NA,NA
445873287,NA,"2023-01-16",12,88,1,150,"[""2""]",1,NA,NA,NA
445877600,NA,"2023-02-16",12,88,0,0,"[""2""]",0,NA,NA,NA
445884088,NA,"2023-03-16",12,4,13,270,"[""2""]",13,NA,NA,NA
445886989,NA,"2023-04-16",12,4,18,280,"[""2""]",18,NA,NA,NA
445920887,NA,"2023-05-16",12,4,7,250,"[""2""]",7,NA,NA,NA
445930381,NA,"2023-04-30",18,88,0,0,"[""88""]",0,NA,NA,NA
446065577,NA,"2023-01-13",9,2,1,3,"[""1"", ""2""]",1,NA,NA,NA
446065577,NA,"2023-01-13",9,88,1,8,"[""1"", ""2""]",1,NA,NA,NA
446065577,NA,"2023-01-13",9,88,1,1,"[""6""]",1,NA,NA,NA
446074470,NA,"2023-02-15",9,88,1,20,"[""1"", ""2""]",1,NA,NA,NA
446085338,NA,"2023-01-31",8,3,106,106,"[""2""]",106,NA,NA,NA
446107490,NA,"2023-02-28",8,2,14,14,"[""1"", ""2""]",14,NA,NA,NA
446118233,NA,"2023-03-31",8,3,18,18,"[""2""]",18,NA,NA,NA
446118233,NA,"2023-03-31",8,3,230,230,"[""1"", ""2""]",230,NA,NA,NA
446118233,NA,"2023-03-31",8,2,17,17,"[""1"", ""2""]",17,NA,NA,NA
446118233,NA,"2023-03-31",8,88,1,1,"[""1"", ""2""]",1,NA,NA,NA
446128441,NA,"2023-03-15",9,1,1,1,"[""6""]",1,NA,NA,NA
446128441,NA,"2023-03-15",9,88,1,12,"[""1"", ""2""]",1,NA,NA,NA
446128441,NA,"2023-03-15",9,88,1,20,"[""1"", ""2""]",1,NA,NA,NA
446128441,NA,"2023-03-15",9,88,1,1,"[""1"", ""2""]",1,NA,NA,NA
446129414,NA,"2023-04-30",8,2,16,16,"[""1"", ""2""]",16,NA,NA,NA
